id;code;name;description;active;create_by_id;created_date;last_modified_by_id;last_modified_date
1;Cambridgeshire Verde implement;Fantástico transmitting sinergia;program iniciativa Identidad;false;43770;2022-01-16T11:47:06;90624;2022-01-16T19:02:02
2;repurpose;País Realineado;Barrio Adelante Mascotas;true;42962;2022-01-17T02:50:25;5063;2022-01-16T06:30:19
3;Metal Amarillo;neural;Ladrillo nacional;false;72476;2022-01-16T06:07:40;55829;2022-01-16T19:18:39
4;recontextualize Baleares Account;syndicate program;Algodón global Cataluña;false;54752;2022-01-16T15:24:36;76741;2022-01-16T17:16:30
5;Pollo models funcionalidad;parse;quantify synergies;false;90496;2022-01-16T16:38:47;44952;2022-01-16T16:44:34
6;e-markets Account;bypass Metal withdrawal;Zapatos;true;83753;2022-01-16T14:09:33;83523;2022-01-16T22:41:05
7;Seychelles actitud;Account Acero payment;Atún proporciona;false;51895;2022-01-16T05:22:48;13193;2022-01-16T19:03:38
8;Madera RAM;Macao Palladium Bahamas;Subida;true;90504;2022-01-16T19:13:55;13850;2022-01-17T03:38:17
9;Directo Inteligente;Bicicleta;Bedfordshire Bedfordshire Extrarradio;false;41825;2022-01-16T18:36:26;36852;2022-01-16T14:12:19
10;Rampa;Puerta AI payment;hacking Silla;false;39236;2022-01-16T19:48:08;26358;2022-01-16T20:32:13
