id;create_by_id;created_date;last_modified_by_id;last_modified_date;content_id_id;catalog_id_id
1;24245;2022-01-16T09:18:08;72587;2022-01-16T04:18:38;1;1
2;72629;2022-01-16T22:02:36;30763;2022-01-17T02:25:26;2;2
3;52697;2022-01-16T20:14:20;6309;2022-01-16T07:03:13;3;3
4;40209;2022-01-17T02:34:16;95740;2022-01-16T07:29:18;4;4
5;57094;2022-01-16T10:42:02;29051;2022-01-17T01:44:50;5;5
6;21786;2022-01-16T22:19:44;5658;2022-01-16T05:03:18;6;6
7;52185;2022-01-16T20:02:26;80261;2022-01-16T14:07:02;7;7
8;8339;2022-01-16T04:49:36;50392;2022-01-16T15:44:34;8;8
9;10729;2022-01-16T21:11:08;62162;2022-01-16T10:39:44;9;9
10;5439;2022-01-16T15:10:33;4102;2022-01-16T07:17:53;10;10
